2,UNM,5.99B,0.50,0.63,77.74,29.09
4,OMC,17.65B,1.18,7.17,7.22,80.90
6,ICL,6.04B,1.08,1.55,-,4.72
8,UAN,362.13M,0.87,0.78,4.33,3.11
10,MIC,3.73B,2.14,1.30,7.89,43.23
12,AEO,2.47B,0.58,1.95,9.35,14.62
14,BKE,1.31B,1.46,3.08,5.32,26.53
16,CHS,483.57M,0.24,0.84,3.79,3.98
18,GPS,6.77B,0.41,1.85,6.26,17.93
20,LB,5.06B,0.39,-,14.89,18.39
1,PRA,1.94B,2.06,1.22,18.99,36.00
3,IPG,8.95B,0.88,3.63,17.19,23.14
5,WPP,17.38B,0.85,1.37,-,69.30
7,NTR,28.02B,1.44,1.21,-,48.91
9,UPS,103.12B,1.41,18.51,22.72,119.04
11,PAC,6.96B,8.55,6.43,14.44,120.35
13,ANF,1.13B,0.31,1.12,2.74,17.40
15,CATO,429.37M,0.52,1.25,1.91,17.44
17,DBI,1.12B,0.32,1.51,9.84,15.53
19,JWN,6.40B,0.41,7.51,13.14,41.15
22,WHR,9.23B,0.45,3.05,9.30,145.19
24,MGIC,480.98M,1.57,1.94,5.02,9.84
26,AINV,1.17B,4.48,0.95,37.17,17.59
28,ARDC,345.33M,-,-,-,15.07
30,BCSF,1.04B,5.87,1.02,14.51,20.15
32,BKCC,343.49M,4.31,0.77,-,4.99
34,BSIG,867.98M,1.05,31.84,6.96,10.19
36,CET,844.75M,44.48,0.90,-,33.15
38,CGBD,829.90M,3.70,0.86,11.81,14.15
40,CORR,586.43M,6.73,1.65,4.87,43.96
21,PLCE,954.00M,0.51,3.87,-,63.60
23,MFGP,4.76B,1.57,0.71,-,14.28
25,AB,2.90B,11.56,1.99,-,30.23
27,APAM,2.52B,3.22,13.98,14.51,32.30
29,ARES,8.07B,5.12,8.32,11.09,34.79
31,BEN,13.28B,2.30,1.32,2.23,26.32
33,BLE,355.57M,14.01,1.00,-,15.11
35,BX,66.53B,11.57,5.67,23.39,56.30
37,CG,10.87B,3.54,4.05,6.74,31.25
39,CLM,830.46M,46.49,1.01,-,11.25
42,CSWC,382.94M,6.47,1.14,12.76,21.11
44,ECCA,599.90M,8.64,2.27,-,25.95
46,EIM,1.02B,14.95,0.92,-,12.80
48,EV,5.42B,3.22,4.60,8.80,47.52
50,EVV,1.53B,10.99,0.91,-,13.16
52,FEN,457.29M,30.13,1.07,-,22.87
54,FIV,329.65M,-,-,-,9.20
56,GAINL,862.52M,13.27,2.12,-,26.28
58,GBDC,2.43B,14.12,1.09,-,18.34
60,HFRO,902.72M,-,-,-,12.56
41,CRF,428.49M,45.51,1.02,-,10.97
43,EAD,527.31M,10.43,0.94,-,8.42
45,ECCB,608.22M,8.76,2.30,-,26.31
47,ERC,392.86M,10.78,0.96,-,12.79
49,EVR,3.45B,1.61,3.98,3.72,76.57
51,FDUS,369.39M,4.63,0.92,-,15.10
53,FII,3.38B,2.65,3.37,10.95,32.97
55,FSK,3.15B,4.53,0.79,-,6.18
57,GAINM,837.27M,12.88,2.06,-,25.51
59,GLO,306.45M,20.28,0.87,-,9.51
62,IFN,566.88M,68.12,0.89,-,21.07
64,JGH,382.20M,-,-,-,16.49
66,JLS,348.60M,-,-,-,21.94
68,JRS,304.53M,18.59,0.96,-,10.54
70,LM,3.10B,1.09,0.84,2.74,36.04
72,MVF,587.42M,13.79,0.92,-,9.06
74,NEV,372.13M,-,-,-,14.91
76,NIE,640.08M,-,-,-,23.10
78,NMFC,1.34B,5.01,1.03,-,13.80
80,NMZ,913.38M,12.79,1.05,-,14.23
61,HYI,356.48M,-,-,-,15.67
63,IVZ,8.34B,1.48,0.87,7.96,17.93
65,JHG,4.66B,2.17,0.98,3.43,24.74
67,JMF,330.78M,-,-,-,8.11
69,LAZ,4.48B,1.70,7.10,1.96,39.83
71,MC,1.97B,2.59,4.13,40.33,33.48
73,NBB,588.97M,-,-,-,21.53
75,NID,648.29M,-,-,-,13.82
77,NKX,724.68M,14.87,0.91,-,15.25
79,NML,403.98M,-,-,-,7.13
82,NVG,3.36B,13.77,1.01,-,16.58
84,NZF,2.32B,13.86,1.01,-,16.29
86,OXLCO,924.22M,9.05,3.83,-,25.42
88,PNNT,445.85M,3.98,0.77,-,6.65
90,RA,791.70M,-,-,-,21.71
92,TPZ,859.20M,-,-,-,17.40
94,WDR,1.18B,1.10,1.44,1.39,16.76
96,F,37.19B,0.24,1.06,1.00,9.45
98,HMC,52.04B,0.36,0.66,2.26,28.76
